Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,1,32,01G2XA6K4VX3F38FXD2NXZJ83B,01HQMA2C2HYWP9EJD0J1EGZYK5,1711593290258,1709004920332
Buy,10,31.01,01G2XA6K4VX3F38FXD2NXZJ83B,01HRFRZYTGJY45029D851BDGXK,1712514912928,1709926540813
Buy,6,31,01G2XA6K4VX3F38FXD2NXZJ83B,01HRD15R7JST2W3A4VGHRWPY3T,1712422817155,1709834455966
Buy,46,30.5,01G2XA6K4VX3F38FXD2NXZJ83B,01HQCP039XKB6E9029V6XYFVSP,1711337361478,1708748968443
Sell,1,33,01G2XA6K4VX3F38FXD2NXZJ83B,01HRMPA0EMQMFRB6SR9AJQMH1J,1712683458900,1710091496050
Sell,97,34.97,01G2XA6K4VX3F38FXD2NXZJ83B,01HR80JMRBBKKDNNCA5B3F2SDT,1712254415368,1709666056751
Sell,2,34.98,01G2XA6K4VX3F38FXD2NXZJ83B,01HR295PJADVZE74K8GNGMR3HS,1712062091938,1709473742510
Sell,6,35,01G2XA6K4VX3F38FXD2NXZJ83B,01HPZC0GQ3HW6T3E8H3Z4MB4G3,1710890676126,1708302315289
Sell,7,40,01G2XA6K4VX3F38FXD2NXZJ83B,01HQ2AEMYCET8HJ22VF86D2D98,1710989663726,1708401344120
Sell,30,44.41,01G2XA6K4VX3F38FXD2NXZJ83B,01HPVSS4Z05TVQZYWWX0V74QVX,1710774497421,1708182536370
Sell,10,47,01G2XA6K4VX3F38FXD2NXZJ83B,01HRCPD8870JYXCBHSG63P30KP,1712411528651,1709823167620
Sell,1,48,01G2XA6K4VX3F38FXD2NXZJ83B,01HQCN5VH9H01CN931NQX6PDQ5,1711336461348,1708748133534
Sell,12,49,01G2XA6K4VX3F38FXD2NXZJ83B,01HQDE2T4NYAP970RVPB3PZDYV,1711362595109,1708774248746
Sell,1,49.12,01G2XA6K4VX3F38FXD2NXZJ83B,01HRDZ27ZRWKGQMPCVNY04B04H,1712457752380,1709865798554
Sell,274,49.45,01G2XA6K4VX3F38FXD2NXZJ83B,01HRG7PFXQ1V8TF7WX7HNSD1SK,1712530324504,1709941957679
Sell,42,49.46,01G2XA6K4VX3F38FXD2NXZJ83B,01HQSKFKMWHCAW16AA0BERY4P2,1711770922307,1709182565117
Sell,3,50.19,01G2XA6K4VX3F38FXD2NXZJ83B,01HPAYEY2NQRAAT29WCCM24WR9,1710205378095,1707617017639
Sell,5,50.41,01G2XA6K4VX3F38FXD2NXZJ83B,01HQ3ZVJE4PWZPHPRAC912C73C,1711045703585,1708457340972
Sell,13,50.64,01G2XA6K4VX3F38FXD2NXZJ83B,01HQ3SX4T73YZ7F9CCK4SS2J4D,1711039460202,1708451100230
Sell,1,51.28,01G2XA6K4VX3F38FXD2NXZJ83B,01HPG5CJ9AEX2ZKB13HSKH76PN,1710380383951,1707792054563
